queue_no,post_id,archetype,cta_tier,hook_first_80,photo_brief_short,expires,status
1,OJV-L002,A,soft,"China installed 295,000 industrial robots in 2024. The rest of the world managed","a factory or workshop floor with automation visible, mid-shot, machines in focus and a person",2026-10-31,library
2,OJV-L003,C,soft,Would you bet against Chinese biotech because you cannot name a single Chinese d,two or three people in a working meeting that reads as a negotiation rather than a,2027-06-30,library
3,OJV-L010,A,medium,Western manufacturers say humanoid robots are years from being useful. Their Chi,"an industrial or logistics floor at scale, or automation working alongside people. Landscape.",2026-12-31,library
4,OJV-L001,F2,hard,Give us 60 minutes with a company entering APAC and we can usually tell which ma,"one of the four co-founders mid-conversation with a founder across a table, laptop or","none, review before posting if the GTM advisory description changes",library
5,OJV-L004,B,soft,India is supposed to be where Western retail goes to die. IKEA's answer was to r,"a retail floor or warehouse shelving shot, products visible, no readable brand signage.",2028-03-31,library
6,OJV-L005,A,medium,39.9%. That is one company's share of every EV battery installed on earth in the,"industrial or logistics setting, containers, a plant exterior, or a co-founder walking a",2027-09-30,library
7,OJV-L006,D,soft,"In June 2008 you could have bought 10% of Airbnb for $150,000. Seven investors w","a co-founder in a one-to-one working session, or a small workshop table with a founder",2028-03-31,library
8,OJV-L008,B,medium,"Starbucks bought control of its China business, then sold it again. Not by accid","a city street or retail district in an Asian city, shopfronts visible, no readable Western",2028-03-31,library
9,OJV-L007,F2,hard,"Nobody wants to hear this, but a longer investor list usually means a slower rai","a co-founder with a founder, list or spreadsheet visible on a laptop screen but not legible.",none,library
10,OJV-L009,C,medium,Anker did 16.6 billion yuan of revenue in the first half of 2026. Here is exactl,"a warehouse, packing bench or shelf of boxed consumer electronics with no readable brand.",2028-03-31,library
