date_seen,story_key,source_url,archetype,posted,post_id,notes
2026-09-03,unitree-shanghai-ipo-debut-2026-08-19,https://www.cnbc.com/2026/08/19/china-backflipping-robot-maker-unitree-jumps-shanghai-ipo.html,A,scheduled,OJV-202637-F,"542% debut, 73-day review. Related CNBC 6 Aug pricing piece treated as the same story, do not post twice."
2026-09-03,notion-japanese-localisation-2021-10-12,https://www.notion.com/blog/notion-launching-in-japanese,B,scheduled,OJV-202637-W,"2021 case, not news. Reusable as a reference in future B posts but not as a second standalone post."
2026-09-03,canva-perkins-100-rejections,https://www.inc.com/carmine-gallo/how-canvas-melanie-perkins-learned-to-pitch-persuasively-after-more-than-100-rejections.html,D,scheduled,OJV-202637-M,"Widely retold, so it is high-recognition and burns fast. Do not run another Canva rejection post."
2026-09-03,beyond-air-lungfit-japan-korea-distribution,https://www.tipranks.com/news/the-fly/beyond-air-signs-international-lungfit-ph-distribution-agreements-thefly,B,no,,"Candidate not used: distribution agreement announcement with no traction numbers, so the unlock cannot be evidenced."
2026-09-03,cicada-tech23-australia-deeptech-2026,https://www.linkedin.com/company/sosv/posts/,A,no,,"Candidate not used: Australian deep tech festival, not a China signal. Kept for a possible C post."
2026-09-10,ifr-world-robotics-2025-china-54pc,https://ifr.org/ifr-press-releases/news/global-robot-demand-in-factories-doubles-over-10-years,A,scheduled,OJV-L002,IFR World Robotics 2025. Expires early: 2026 edition supersedes it.
2026-09-10,china-biotech-outlicensing-record-2026,https://finance.yahoo.com/news/analysis-china-biotech-licensing-boom-092338804.html,C,scheduled,OJV-L003,"Reuters analysis, Pharmcube data. Strong numbers."
2026-09-10,ikea-india-local-sourcing-pricing-rebuild,https://insideretail.asia/2020/09/02/ikea-proposes-one-third-price-cut-by-boosting-local-sourcing/,B,scheduled,OJV-L004,Two secondary figures from WEF flagged recheck.
2026-09-10,catl-global-share-jan-jul-2026-hungary-localisation,https://cnevpost.com/2026/09/07/global-ev-battery-market-share-jan-jul-2026/,A,scheduled,OJV-L005,SNE Research data. Hungary figures flagged recheck before posting.
2026-09-10,airbnb-seven-rejections-2008,https://medium.com/@bchesky/7-rejections-7d894cbaa084,D,scheduled,OJV-L006,"Primary, founder-written. Not an Asian founder, noted in the draft."
2026-09-10,starbucks-china-ownership-dial-2017-2025,https://about.starbucks.com/press/2025/starbucks-and-boyu-announce-joint-venture-for-the-next-chapter-of-growth-in-china/,B,scheduled,OJV-L008,Company releases plus two SEC 8-Ks. Best sourced in the tranche.
2026-09-10,anker-h1-2026-channel-mix,https://english.ebrun.com/20260905/705413.shtml,C,scheduled,OJV-L009,Interim report figures cross-checked across three outlets.
2026-09-10,ubtech-walker-s2-order-book-nov-2025,https://www.prnewswire.com/news-releases/ubtech-humanoid-robot-walker-s2-begins-mass-production-and-delivery-with-orders-exceeding-800-million-yuan-302616924.html,A,scheduled,OJV-L010,"Company release. Capacity target is an intention, hedged in copy."
2026-09-10,jack-ma-rejected-30-vcs,https://time.com/4090527/jack-ma-rejection-advice/,D,no,,DROPPED. Sources conflict (30 vs 38) and the count is a self-report with no primary filing. Cut per the aggregator rule.
2026-09-10,toss-lee-seung-gun-eight-failures,https://www.cnbc.com/2019/09/20/toss-koreas-first-1-billion-fintech-unicorn-inspired-by-8-failures.html,D,no,,DROPPED for archetype D. Eight failed ventures is not a rejection count. Would work as a different archetype.
2026-09-10,postman-abhinav-asthana-investors,https://yourstory.com/2020/07/postman-ceo-abhinav-asthana-untold-story,D,no,,"DROPPED. He states they never pitched, so there is no rejection to write about."
2026-09-10,klook-founder-rejections,https://www.forbes.com/sites/ranawehbe/2019/07/15/klooks-nomadic-cofounder-turns-wanderlust-into-a-1-billion-enterprise/,D,no,,"DROPPED. Documented rejection was by tour operators, not investors."
2026-09-10,ninja-van-carousell-grab-rejections,,D,no,,DROPPED. No documented pre-Series-A investor rejection count found for any of the three.
2026-09-10,netflix-india-price-cut-2021,https://deadline.com/2021/12/netflix-aggressive-price-cut-india-1234890712/,B,no,,"UNUSED, good candidate. Dropped only to avoid a second India post in the same tranche. Verify the 30% engagement and 24% revenue figures before use."
2026-09-10,dominos-india-largest-market-outside-us,https://www.npr.org/sections/thetwo-way/2013/12/06/249238538/paneer-pizza-dominos-sees-india-becoming-second-largest-market,B,no,,"UNUSED. NPR fetch timed out and Jubilant returned 403, so store counts are unverified. Retry via browser."
