post_id,scheduled_date,slot,archetype,funnel_tier,hook,hook_pattern,entities,status,image,cta_tier,source_url,draft_path
OJV-202637-M,2026-09-07,monday-awareness,D,awareness,More than 100 investors said no to Canva before one said yes.,number-first,Canva;Melanie Perkins;Perth,draft,studio-blazer.jpg,soft,https://www.inc.com/carmine-gallo/how-canvas-melanie-perkins-learned-to-pitch-persuasively-after-more-than-100-rejections.html,drafts/2026-W37/OJV-202637-M-archetypeD-canva.md
OJV-202637-W,2026-09-09,wednesday-proof,B,interest,Notion's second-biggest market outside the US was Japan before Notion had a Japanese product.,reframe,Notion;Japan,draft,mic.jpg,medium,https://www.notion.com/blog/notion-launching-in-japanese,drafts/2026-W37/OJV-202637-W-archetypeB-notion-japan.md
OJV-202637-F,2026-09-11,friday-offer,A,enquiry,Unitree closed its first day on the Shanghai exchange up 542%.,number-first,Unitree;Shanghai;Shenzhen,draft,NEEDS SHOOT,hard,https://www.cnbc.com/2026/08/19/china-backflipping-robot-maker-unitree-jumps-shanghai-ipo.html,drafts/2026-W37/OJV-202637-F-archetypeA-unitree-trek.md
OJV-L002,,,A,awareness,"China installed 295,000 industrial robots in 2024. The rest of the world managed 247,000 between them.",reframe,IFR; China industrial robotics,library,PHOTO-BRIEF,soft,https://ifr.org/ifr-press-releases/news/global-robot-demand-in-factories-doubles-over-10-years,library/OJV-L002.md
OJV-L003,,,C,awareness,Would you bet against Chinese biotech because you cannot name a single Chinese drug brand?,contrarian-bet,China biotech out-licensing; CSPC; AstraZeneca; RemeGen; AbbVie,library,PHOTO-BRIEF,soft,https://finance.yahoo.com/news/analysis-china-biotech-licensing-boom-092338804.html,library/OJV-L003.md
OJV-L010,,,A,interest,Western manufacturers say humanoid robots are years from being useful. Their Chinese counterparts have been signing purchase orders:,stated-contradiction,UBTECH; Walker S2,library,PHOTO-BRIEF,medium,https://www.prnewswire.com/news-releases/ubtech-humanoid-robot-walker-s2-begins-mass-production-and-delivery-with-orders-exceeding-800-million-yuan-302616924.html,library/OJV-L010.md
OJV-L001,,,F2,enquiry,Give us 60 minutes with a company entering APAC and we can usually tell which market is going to burn the budget.,time-boxed-claim,none,library,PHOTO-BRIEF,hard,,library/OJV-L001.md
OJV-L004,,,B,awareness,"India is supposed to be where Western retail goes to die. IKEA's answer was to rebuild the price, not the marketing.",local-claim-broken,IKEA; India,library,PHOTO-BRIEF,soft,https://insideretail.asia/2020/09/02/ikea-proposes-one-third-price-cut-by-boosting-local-sourcing/,library/OJV-L004.md
OJV-L005,,,A,interest,39.9%. That is one company's share of every EV battery installed on earth in the first seven months of 2026.,number-first,CATL; Hungary; Debrecen,library,PHOTO-BRIEF,medium,https://cnevpost.com/2026/09/07/global-ev-battery-market-share-jan-jul-2026/,library/OJV-L005.md
OJV-L006,,,D,awareness,"In June 2008 you could have bought 10% of Airbnb for $150,000. Seven investors were asked and none of them did.",promise-to-unpack,Airbnb; Brian Chesky,library,PHOTO-BRIEF,soft,https://medium.com/@bchesky/7-rejections-7d894cbaa084,library/OJV-L006.md
OJV-L008,,,B,interest,"Starbucks bought control of its China business, then sold it again. Not by accident, but by design.",by-design,Starbucks; Uni-President; Boyu Capital,library,PHOTO-BRIEF,medium,https://about.starbucks.com/press/2025/starbucks-and-boyu-announce-joint-venture-for-the-next-chapter-of-growth-in-china/,library/OJV-L008.md
OJV-L007,,,F2,enquiry,"Nobody wants to hear this, but a longer investor list usually means a slower raise.",hard-truth,none,library,PHOTO-BRIEF,hard,,library/OJV-L007.md
OJV-L009,,,C,interest,Anker did 16.6 billion yuan of revenue in the first half of 2026. Here is exactly which channel each yuan came through:,comparative-receipt,Anker Innovations; Amazon,library,PHOTO-BRIEF,medium,https://english.ebrun.com/20260905/705413.shtml,library/OJV-L009.md
